Epoch 1: loss=1.829079031944275, accuracy=0.24222713708877563, val_loss=1.814777135848999, val_accuracy=0.24293477833271027
Epoch 2: loss=1.8011348247528076, accuracy=0.24713094532489777, val_loss=1.7848353385925293, val_accuracy=0.24293477833271027
Epoch 3: loss=1.7881500720977783, accuracy=0.2513195872306824, val_loss=1.7605597972869873, val_accuracy=0.27798911929130554
Epoch 4: loss=1.7667689323425293, accuracy=0.2643623352050781, val_loss=1.7091494798660278, val_accuracy=0.313586950302124
Epoch 5: loss=1.739205002784729, accuracy=0.28319427371025085, val_loss=1.6382720470428467, val_accuracy=0.3341032564640045
Epoch 6: loss=1.7026493549346924, accuracy=0.3077473044395447, val_loss=1.6039619445800781, val_accuracy=0.3653532564640045
Epoch 7: loss=1.6647059917449951, accuracy=0.32865655422210693, val_loss=1.60710871219635, val_accuracy=0.35326087474823
Epoch 8: loss=1.633818507194519, accuracy=0.35280096530914307, val_loss=1.4908435344696045, val_accuracy=0.4267663061618805
Epoch 9: loss=1.5885213613510132, accuracy=0.3773539960384369, val_loss=1.4720567464828491, val_accuracy=0.4429347813129425
Epoch 10: loss=1.5487518310546875, accuracy=0.39894431829452515, val_loss=1.4152154922485352, val_accuracy=0.457880437374115
Epoch 11: loss=1.5177841186523438, accuracy=0.41392815113067627, val_loss=1.340008020401001, val_accuracy=0.49673911929130554
Epoch 12: loss=1.490594744682312, accuracy=0.4253022372722626, val_loss=1.3279470205307007, val_accuracy=0.5004076361656189
Epoch 13: loss=1.4556009769439697, accuracy=0.44273796677589417, val_loss=1.269092082977295, val_accuracy=0.519293487071991
Epoch 14: loss=1.4389876127243042, accuracy=0.4478801190853119, val_loss=1.2622038125991821, val_accuracy=0.5216032862663269
Epoch 15: loss=1.4133617877960205, accuracy=0.4564277231693268, val_loss=1.2503772974014282, val_accuracy=0.523505449295044
Epoch 16: loss=1.3957315683364868, accuracy=0.467495322227478, val_loss=1.2276321649551392, val_accuracy=0.531521737575531
Epoch 17: loss=1.3741587400436401, accuracy=0.47597479820251465, val_loss=1.218412160873413, val_accuracy=0.5358695387840271
Epoch 18: loss=1.3588072061538696, accuracy=0.4825131893157959, val_loss=1.1705741882324219, val_accuracy=0.5554347634315491
Epoch 19: loss=1.3507550954818726, accuracy=0.4871104955673218, val_loss=1.1836079359054565, val_accuracy=0.549728274345398
Epoch 20: loss=1.3303314447402954, accuracy=0.4946705400943756, val_loss=1.148183822631836, val_accuracy=0.570380449295044
Epoch 21: loss=1.3230478763580322, accuracy=0.49787160754203796, val_loss=1.1702394485473633, val_accuracy=0.5559782385826111
Epoch 22: loss=1.3031221628189087, accuracy=0.5074748992919922, val_loss=1.1161482334136963, val_accuracy=0.5796195864677429
Epoch 23: loss=1.2909278869628906, accuracy=0.5111186504364014, val_loss=1.1087489128112793, val_accuracy=0.579211950302124
Epoch 24: loss=1.285486102104187, accuracy=0.5159203410148621, val_loss=1.1000933647155762, val_accuracy=0.5796195864677429
Epoch 25: loss=1.2698572874069214, accuracy=0.5213349461555481, val_loss=1.1088651418685913, val_accuracy=0.572826087474823
Epoch 26: loss=1.2642371654510498, accuracy=0.5214711427688599, val_loss=1.1272417306900024, val_accuracy=0.573369562625885
Epoch 27: loss=1.2573177814483643, accuracy=0.5274305939674377, val_loss=1.1176040172576904, val_accuracy=0.572282612323761
Epoch 28: loss=1.2453962564468384, accuracy=0.5313808917999268, val_loss=1.0821855068206787, val_accuracy=0.585869550704956
Epoch 29: loss=1.2452439069747925, accuracy=0.5279073715209961, val_loss=1.0984700918197632, val_accuracy=0.5857337117195129
Epoch 30: loss=1.2342615127563477, accuracy=0.5357057452201843, val_loss=1.081048607826233, val_accuracy=0.592119574546814
